Year,Price of oil(cents),Price of Bit.Coal
1950,80.7,34.5
1951,76.4,32.9
1952,75.3,32.3
1953,78.5,32
1954,80.4,29.1
1955,78.6,28.4
1956,76.6,29.6
1957,82.1,30.2
1958,78.6,28.3
1959,74,27.5
1960,72.3,26.6
1961,71.8,25.8
1962,70.8,24.8
1963,69.5,24
1964,68.3,24
1965,66.3,23.5
1966,64.7,23.3
1967,63.6,23.3
1968,61.4,22.5
1969,61.4,23
1970,59.9,27.9
1971,60.8,30.4
1972,58.4,31.9
1973,63.5,33.6
1974,102.9,57.7
1975,105.1,65.9
1976,106.7,63.4
1977,105.5,62.3
1978,103.2,64.6
1979,133.3,64.1
1980,204.5,59.4
1981,273.6,57.4
